"longitude","latitude","magnitude","time_string","depth","catalog_id","event_id"
13.3423051254307,39.7458843268617,4.17380662301898,"2021-07-01-01T00:41:48",NA,99195,1
13.9247579796081,37.1559275628687,4.18814830391889,"2021-07-01-01T04:47:21",NA,99222,1
12.8454607426273,37.2197944035903,4.49119700836802,"2021-07-01-01T10:38:47",NA,99251,1
12.2743467552816,39.7528761484479,4.33587838277276,"2021-07-01-01T03:47:14",NA,99277,1
14.0934566925224,37.8510388360359,4.04225183553302,"2021-07-01-01T14:48:48",NA,99296,1
12.0438294004709,39.0430570758839,4.0876307451519,"2021-07-01-01T05:44:41",NA,99364,3
10.702851028686,40.8117182450236,4.10161952843423,"2021-07-01-01T14:38:51",NA,99411,2
10.5046403740915,42.8970013507716,4.23254217376465,"2021-07-01-01T10:45:25",NA,99690,1
18.9139197692238,40.2361617048583,4.21622573915321,"2021-07-01-01T12:52:46",NA,99720,1
19.1011051890999,40.545994895848,4.45046683519486,"2021-07-01-01T11:56:19",NA,99800,1
9.72909094651276,42.5916703156815,4.54539430681185,"2021-07-01-01T20:02:57",NA,99854,1
18.771467200004,40.3089510789188,4.19707742955959,"2021-07-01-01T03:32:24",NA,99921,2
13.4115487095997,45.6310710065071,4.60855409653993,"2021-07-01-01T20:36:45",NA,99934,2
